CEBS_PubNumber,CEBS_TestArticleName,CEBS_DTXSID,CEBS_CASRN,CEBS_AMES_CONCLUSION,CEBS_MALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_MALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_IN_VITRO_MN_CONCLUSION,CEBS_MALE_RAT_COMET,CEBS_FEMALE_RAT_COMET,CEBS_MALE_MOUSE_COMET,CEBS_FEMALE_MOUSE_COMET
,Phosphine,DTXSID2021157,7803-51-2,,,,Negative (Nonstandard Protocol),,,,,,
TR-365,Pentaerythritol tetranitrate,DTXSID2023430,78-11-5,Negative,,,,,,,,,
TR-125,Dioxathion,DTXSID9020534,78-34-2,Positive,,,,,,,,,
,Diethyl ethylphosphonate,DTXSID7025051,78-38-6,Negative,,,,,,,,,
,Triethyl phosphate,DTXSID8026228,78-40-0,Negative,,,,,,,,,
TR-274,tris(2-Ethylhexyl)phosphate,DTXSID0021414,78-42-2,Negative,,,Negative,,,,,,
,Carisoprodol,DTXSID8024733,78-44-4,Negative,,,Negative,Negative,,,,,
,Tributoxyethyl phosphate,DTXSID5021758,78-51-3,Negative; Negative,,,,,,,,,
TR-291,Isophorone,DTXSID8020759,78-59-1,Negative,,,,,,,,,
,"2,5-Dimethyl-2,5-bis(tert-butylperoxy)hexane",DTXSID9025110,78-63-7,Negative,,,,,,,,,
,Linalool,DTXSID7025502,78-70-6,Negative,,,,,,,,,
,Isopentane,DTXSID8025468,78-78-4,Negative,,,,,,,,,
TR-486,Isoprene,DTXSID2020761,78-79-5,Negative,,,Positive; Positive,Positive,,,,,
,Isobutylamine,DTXSID9025459,78-81-9,Negative,,,,,,,,,
,2-Methylpropanenitrile,DTXSID5026461,78-82-0,Negative,,,,,,,,,
,Isobutyl alcohol,DTXSID0021759,78-83-1,Negative,,,,,,,,,
TR-472,Isobutyraldehyde,DTXSID9021635,78-84-2,Negative; Equivocal,Negative,,Negative; Negative,,,,,,
TR-263,"1,2-Dichloropropane (propylene dichloride)",DTXSID0020448,78-87-5,Weakly Positive; Weakly Positive,,,,,,,,,
,"2,3-Dichloropropene",DTXSID6025012,78-88-6,Positive,,,,,,,,,
,Propylenediamine,DTXSID4021761,78-90-0,Negative,,,,,,,,,
,2-Butanol,DTXSID9021762,78-92-2,Negative,,,,,,,,,
,Methyl ethyl ketone,DTXSID3021516,78-93-3,Negative,,,,,,,,,
,Methyl vinyl ketone,DTXSID3025671,78-94-4,Positive,Equivocal,,Equivocal,Negative,,,,,
,Monoisopropanolamine,DTXSID9021764,78-96-6,Equivocal,,,,,,,,,
,2-Hydroxypropanenitrile,DTXSID6025432,78-97-7,Weakly Positive; Negative,,,,,,,,,
TR-074,"1,1,2-Trichloroethane",DTXSID5021380,79-00-5,Negative; Negative; Negative; Equivocal,,,,,,,,,
"TR-002, TR-243, TR-273",Trichloroethylene,DTXSID0021383,79-01-6,Negative; Negative,,,Negative,,,,,,
TR-575,Acrylamide,DTXSID5020027,79-06-1,Weakly Positive; Negative,Negative; Equivocal,,Positive; Positive; Positive,Positive; Negative,,,,Positive,
,Bromoacetic acid,DTXSID7021495,79-08-3,Positive; Positive,,,,,,,,,
,Propionic acid,DTXSID8025961,79-09-4,Negative,,,,,,,,,
,Acrylic acid,DTXSID0039229,79-10-7,Negative; Negative,,,,,,,,,
TR-396,Monochloroacetic acid,DTXSID4020901,79-11-8,Negative; Negative,,,,,,,,,
,Glycolic acid,DTXSID0025363,79-14-1,Negative,,,,,,,,,
,N-Bromoacetamide,DTXSID5024633,79-15-2,Negative,,,,,,,,,
,Thiosemicarbazide,DTXSID9021346,79-19-6,Negative,,,,,,,,,
,Methyl acetate,DTXSID4021767,79-20-9,Negative,,,,,,,,,
,Peracetic acid,DTXSID1025853,79-21-0,Negative,,,,,,,,,
,Nitroethane,DTXSID8020969,79-24-3,Negative,,,,,,,,,
,"1,1,2,2-Tetrabromoethane",DTXSID1026083,79-27-6,Negative,,,,,,,,,
,"2,3-Dimethylbutane",DTXSID9025112,79-29-8,Negative,,,,,,,,,
,"N-(1,3-Dimethlbutyl)-N-Phenyl-P-Phenylenediamine",DTXSID9025114,793-24-8,Negative; Negative,,,,,,,,,
TR-027,"1,1,2,2-Tetrachloroethane",DTXSID7021318,79-34-5,Negative; Negative,,,Positive; Equivocal,Positive; Positive,,,,,
,Dichloroacetyl chloride,DTXSID6024965,79-36-7,Positive,,,,,,,,,
,Methacrylic acid,DTXSID3025542,79-41-4,Negative; Equivocal,,,,,,,,,
,Dichloroacetic acid,DTXSID2020428,79-43-6,Positive; Positive,,,Negative; Negative; Negative; Negative,Positive; Negative; Negative; Negative,,,,,
,Dimethylcarbamoyl chloride,DTXSID1020512,79-44-7,Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,2-Nitropropane,DTXSID6020981,79-46-9,Positive; Positive; Positive; Positive,,,,,,,,,
,beta-Ionone,DTXSID4021769,79-77-6,Negative,,,,,,,,,
TR-568,All-trans-retinyl palmitate,DTXSID1021241,79-81-2,Equivocal,,,,,,,,,
,Ionic Liquid: 1-Butyl-3-methylimidazolium Chloride,DTXSID6031461,79917-90-1,Negative,Negative,Negative,Negative,Negative,,,,,
TR-587,Tetrabromobisphenol A,DTXSID1026081,79-94-7,Negative; Negative,,,Negative,Negative,,,,,
,Cedarwood oil,DTXSID8030978,8000-27-9,Negative,,,Negative,Negative,,,,,
,Lavender oil,DTXSID6041181,8000-28-0,Negative,,,,,,,,,
TR-426,Safflower oil,DTXSID2021076,8001-23-8,Negative,,,,,,,,,
,Linseed oil,DTXSID2025507,8001-26-1,Negative,,,,,,,,,
,Croton oil,DTXSID3024865,8001-28-3,Negative,,,,,,,,,
,Cottonseed oil,DTXSID0024848,8001-29-4,Negative,,,,,,,,,
TR-426,Corn oil,DTXSID7021075,8001-30-7,Negative,No Call; No Call,,,,,Negative,,,
TR-037,Toxaphene,DTXSID7021368,8001-35-2,Positive,,,,,,,,,
,"Creosote, coal tar",DTXSID4024852,8001-58-9,Positive,,,,,,,,,
,Castor oil,DTXSID7024742,8001-79-4,Negative,,,Negative,Negative,,,,,
,Aloe vera gel,DTXSID2030693,8001-97-6,Negative; Negative,,,,,,,,,
TR-463,D&C Yellow No. 11,DTXSID7024906,8003-22-3,Weakly Positive; Equivocal,,,Negative,Negative,,,,,
,C.I. Direct Black 80,DTXSID7025188,8003-69-8,Positive,,,Negative,,,,,,
,C.I. Solvent Black 7,DTXSID5026041,8005-02-5,Negative,,,,,,,,,
TR-215,Bisphenol A,DTXSID7020182,80-05-7,Negative; Negative; Negative,Negative,,,,,Negative,,,
,Turpentine,DTXSID6027717,8006-64-2,Negative,,,,,,,,,
,Oil of pimenta,DTXSID3031812,8006-77-7,Negative,,,,,,,,,
,Fennel seed oil sweet,DTXSID4044327,8006-84-6,Negative,,,,,,,,,
,Anise oil,DTXSID3024528,8007-70-3,Negative,,,,,,,,,
TR-501,"p,p'-Dichlorodiphenyl sulfone",DTXSID9024986,80-07-9,Negative,,,Positive,,,,,,
TR-020,"4,4'-Sulfonyldianiline (Dapsone)",DTXSID4020371,80-08-0,Negative,,,,,,,,,
TR-310,Navy fuels JP-5,DTXSID3025704,8008-20-6,Negative,,,,,,,,,
,Lime oil,DTXSID2031532,8008-26-2,Negative,,,,,,,,,
,Lemon oil,DTXSID2031530,8008-56-8,Negative,,,,,,,,,
,Valerian (Valeriana officinalis L.) root oil,DTXSID9040186,8008-88-6,Negative; Negative; Negative; Negative; Negative; Negative; Negative; Negative; Negative; Negative; Negative; Negative; Negative,,,,,,,,,
,Senna (powdered),DTXSID3026017,8013-11-4,Positive; Positive; Negative; Negative,,,Negative,,,,,,
,Halazone,DTXSID9025370,80-13-7,Positive,,,,,,,,,
,2-Phenyl-2-ethylmalondiamide,DTXSID3025885,80147-40-6,Weakly Positive,,,,,,,,,
,Cumene hydroperoxide,DTXSID3024869,80-15-9,Positive; Positive,,,Negative,Negative,,,,,
,"Labdanum, oil",DTXSID4044329,8016-26-0,Negative,,,,,,,,,
,"Creosote, wood",DTXSID9024853,8021-39-4,Negative,,,,,,,,,
TR-427,"Turmeric, oleoresin (curcumin)",DTXSID4021422,8024-37-1,Negative,,,,,,,,,
,Casanthranol (cascara sagrada extract),DTXSID7024740,8024-48-4,Positive,Negative,,Negative,,,,,,
,Ichthammol,DTXSID1025439,8029-68-3,Positive,,,,,,,,,
,Orange flower water,DTXSID5025813,8030-28-2,Negative,,,,,,,,,
,n-Cyclohexyl-4-methylbenzenesulfonamide,DTXSID1024885,80-30-8,Negative,,,,,,,,,
,N-Ethyl-4-methylbenzenesulfonamide,DTXSID5025310,80-39-7,Negative,,,,,,,,,
,Dicumyl peroxide,DTXSID1025017,80-43-3,Negative; Negative,,,,,,,,,
,Styrax balsam,DTXSID4026054,8046-19-3,Negative,,,,,,,,,
,p-tert-Pentylphenol,DTXSID8021771,80-46-6,Negative,,,,,,,,,
,p-Menthane hydroperoxide,DTXSID4025533,80-47-7,Positive,,,,,,,,,
,Toluene ethylsulfonamide,DTXSID2026159,8047-99-2,Weakly Positive,,,,,,,,,
,Coco amides,DTXSID2027707,8051-30-7,Negative,,,,,,,,,
,"p-Menthane-1,8-diamine",DTXSID3021772,80-52-4,Negative,,,,,,,,,
,Stoddard solvent,DTXSID9026051,8052-41-3,Negative,,,,,,,,,
,alpha-Pinene,DTXSID4026501,80-56-8,Negative,,,Negative,Negative,,,,,
,Valerian (Valeriana officinalis L.) root extract,DTXSID001017359,8057-49-6,,,,Negative,Weakly Positive,,,,,
,Hops extract,DTXSID0031425,8060-28-4,Negative,,,,,,,,,
,Sodium ligninsulfonate,DTXSID5025499,8061-51-6,Negative,,,,,,,,,
,Ammonium ligninsulfonate,DTXSID9024514,8061-53-8,Negative,,,,,,,,,
TR-314,Methyl methacrylate,DTXSID2020844,80-62-6,Weakly Positive; Negative; Negative,,,Equivocal; Equivocal,,,,,,
,Methyl 2-chloroacrylate,DTXSID4025585,80-63-7,Positive,,,,,,,,,
,Trimethoprim/sulfamethoxazole (commercial),DTXSID0032233,8064-90-2,,,,Positive,,,,,,
,Hydergine,DTXSID5031428,8067-24-1,Negative,,,,,,,,,
,Isatin-5-sulfonic acid sodium salt,DTXSID4025452,80789-74-8,Weakly Positive; Positive,,,,,,,,,
,Saccharin,DTXSID5021251,81-07-2,Negative,,,,,,,,,
,Clarithromycin,DTXSID3022829,81103-11-9,Negative,,,,,,,,,
,"4,4'-Diamino-2,2'-stilbenedisulfonic acid",DTXSID5024926,81-11-8,Negative,,,,,,,,,
,Musk ketone,DTXSID6025690,81-14-1,Negative,,,,,,,,,
,Monomethylphosphate,DTXSID2025684,812-00-0,Negative,,,,,,,,,
,"1,3-Dimethyl-2-nitrobenzene",DTXSID7025134,81-20-9,Weakly Positive,,,,,,,,,
,Sennoside A,DTXSID1023576,81-27-6,Negative,,,,,,,,,
,Dimethylphosphate,DTXSID5025150,813-78-5,Negative,,,,,,,,,
,D&C Violet No. 2,DTXSID1026293,81-48-1,Negative,,,,,,,,,
TR-383,"1-Amino-2,4-dibromoanthraquinone",DTXSID4039235,81-49-2,Positive,,,,,,,,,
,"1,8-Dihydroxy-4,5-dinitroanthraquinone",DTXSID0025076,81-55-0,Positive,,,,,,,,,
,Vat blue 4,DTXSID2026280,81-77-6,Negative,,,,,,,,,
,"(E)-1,4-Dibromo-2-butene",DTXSID8024941,821-06-7,Positive,,,,,,,,,
TR-535,4-Methylimidazole,DTXSID9025617,822-36-6,Negative; Negative,Negative,,Negative; Negative,Negative,,,,,
TR-111,1-Amino-2-methylanthraquinone,DTXSID7020057,82-28-0,Positive,,,,,,,,,
,"3,4,6-Trichloro-2-nitrophenol",DTXSID0026206,82-62-2,Negative,,,,,,,,,
"TR-061, TR-325",Pentachloronitrobenzene,DTXSID2021105,82-68-8,Negative,,,,,,,,,
TR-354,Dimethoxane,DTXSID6020480,828-00-2,Positive,,,,,,,,,
,"2-Pivalyl-1,3-indandione",DTXSID1025930,83-26-1,Negative,,,,,,,,,
,1-Methyl phenanthrene,DTXSID6025648,832-69-9,Positive,,,,,,,,,
,Acenaphthene,DTXSID3021774,83-32-9,Negative,,,,,,,,,
,"2,6-Dichlorobenzaldehyde",DTXSID5024970,83-38-5,Negative,,,,,,,,,
,"1,2-Dimethyl-3-nitrobenzene",DTXSID7025132,83-41-0,Positive,,,,,,,,,
,Ametryn,DTXSID1023869,834-12-8,,,,,,,Negative,,,
TR-007,Phenformin hydrochloride,DTXSID0021121,834-28-6,Negative,,,,,,,,,
,beta-Sitosterol,DTXSID5022481,83-46-5,Negative,Negative,,Negative,,,,,,
,Musk ambrette,DTXSID7025689,83-66-9,Negative,,,,,,,,,
,Theobromine,DTXSID9026132,83-67-0,Negative,,,,,,,,,
,"2-Hydroxy-1,4-naphthoquinone",DTXSID2025428,83-72-7,Positive,,,,,,,,,
TR-320,Rotenone,DTXSID6021248,83-79-4,Negative,,,,,,,,,
,Riboflavin,DTXSID8021777,83-88-5,Negative,,,,,,,,,
,"1,3,5-tris(2-Hydroxyethyl)triazine-2,4,6-trione",DTXSID4026266,839-90-7,Negative,,,,,,,,,
,Bilberry fruit extract,DTXSID9030836,84082-34-8,Positive,,,Negative,,,,,,
TR-226,C.I. Solvent Yellow 14,DTXSID4021135,842-07-9,Positive; Positive,,,Equivocal,,,,,,
,Goldenseal extract,DTXSID40274228,84603-60-1,,Negative,,,,,,,,
TR-565,Milk thistle extract,DTXSID8031657,84604-20-6,Positive; Positive; Positive; Negative; Negative; Negative,,,Negative,Negative,,,,,
,Dicyclohexyl phthalate,DTXSID5025021,84-61-7,Negative,,,,,,,,,
,Butyl cyclohexyl phthalate,DTXSID5024689,84-64-0,Negative,,,,,,,,,
TR-494,Anthraquinone,DTXSID3020095,84-65-1,Positive; Positive; Negative; Negative; Negative; Negative,,,Positive; Negative,Positive,,,,,
TR-429,Diethyl phthalate,DTXSID7021780,84-66-2,Negative; Negative,,,,,,,,,
,Diisobutyl Phthalate,DTXSID9022522,84-69-5,Negative,,,,,,,,,
,Dibutyl Phthalate,DTXSID2021781,84-74-2,Negative,,,Negative,Negative,,,,,
,Di(n-hexyl)phthalate,DTXSID6025068,84-75-3,Negative; Negative,,,,,,,,,
,Black Cohosh,DTXSID2030857,84776-26-1,Negative; Negative; Negative; Equivocal,,Positive,,Positive; Positive; Positive,,,,,
,Blackberry extract,DTXSID6030861,84787-69-9,Negative,,,,,,,,,
,Black haw bark extract,DTXSID7030858,84929-54-4,Negative,,,,,,,,,
,Phenanthrene,DTXSID6024254,85-01-8,Weakly Positive,,,,,,,,,
,Benzo(f)-quinoline,DTXSID2024585,85-02-9,Positive; Equivocal,,,,,,,,,
,Yohimbe bark extract,DTXSID4032291,85117-22-2,Negative,,,,,,,,,
,"2,3,4,5,6-Pentabromoethylbenzene",DTXSID7021782,85-22-3,Negative,,,,,,,,,
TR-159,Phthalic anhydride,DTXSID2021159,85-44-9,Negative; Negative,,,,,,,,,
,Flusilazole,DTXSID3024235,85509-19-9,,,,,,,Negative,,,
"TR-213, TR-458",Butyl benzyl phthalate,DTXSID3020205,85-68-7,Negative; Negative,,,Negative,,,,,,
,Calcium naphthenate,DTXSID0057590,85763-67-3,Negative,,,,,,,,,
,"N,N'-Diethylcarbanilide",DTXSID8025040,85-98-3,Negative,,,,,,,,,
,"2-Nitro-1,1'-biphenyl",DTXSID9025746,86-00-0,Negative,,,,,,,,,
,C.I. Acid Blue 74,DTXSID1020190,860-22-0,Weakly Positive; Positive,,,,,,,,,
TR-164,N-Nitrosodiphenylamine,DTXSID6021030,86-30-6,Negative,,,,,,,,,
TR-069,Azinphosmethyl,DTXSID3020122,86-50-0,Weakly Positive; Positive,,,,,,,,,
TR-064,1-Nitronaphthalene,DTXSID7020978,86-57-7,Positive,,,,,,,,,
,"1,1,2,2-Tetrahydroperfluoro-1-dodecanol",DTXSID2029905,865-86-1,Negative,,,,,,,,,
,Carbazole,DTXSID4020248,86-74-8,Negative,,,,,,,,,
TR-287,Dimethyl hydrogen phosphite,DTXSID20242066,868-85-9,Weakly Positive; Equivocal,,,Positive,,,,,,
,Tribromosalan,DTXSID4026181,87-10-5,Negative,,,,,,,,,
,N-Methyl-2-pyrrolidone,DTXSID6020856,872-50-4,Negative; Negative,,,,,,,,,
,Ethyl anthranilate,DTXSID6025272,87-25-2,Negative,,,,,,,,,
TR-196,Cinnamyl anthranilate,DTXSID3020330,87-29-6,Negative,,,Negative,,,,,,
,"2,4-Dichlorobenzaldehyde",DTXSID1022130,874-42-0,Negative,,,,,,,,,
,beta-Caryophyllene,DTXSID8024739,87-44-5,Negative,,,,,,,,,
,Resorcine blue,DTXSID0025995,87495-30-5,Negative; Negative,,,,,,,,,
,"2,3-Xylidine",DTXSID3026304,87-59-2,Positive,,,,,,,,,
,3-Chloro-o-toluidine,DTXSID3024815,87-60-5,Negative,,,,,,,,,
,"1,2,3-Trichlorobenzene",DTXSID8026193,87-61-6,Negative,,,,,,,,,
,"2,6-Xylidine",DTXSID8026307,87-62-7,Weakly Positive; Weakly Positive; Negative,,,,,,,,,
,"2,6-Dichlorophenol",DTXSID2025004,87-65-0,Negative,,,,,,,,,
TR-574,Pyrogallol,DTXSID6025983,87-66-1,Positive; Positive,,,Negative; Equivocal,Negative,,,,,
,"Hexachloro-1,3-butadiene",DTXSID7020683,87-68-3,Negative; Negative,,,,,,,,,
,Hexabromobenzene,DTXSID1024128,87-82-1,Negative; Negative,,,,,,,,,
,Pentabromotoluene,DTXSID3025833,87-83-2,Negative,,,,,,,,,
,Pentabromochlorocyclohexane,DTXSID4025828,87-84-3,Equivocal; Equivocal,,,,,,,,,
"TR-349, TR-483",Pentachlorophenol,DTXSID7021106,87-86-5,Negative,Negative,,Negative,,,,,,
,"2,3,4,5-Tetrachloronitrobenzene",DTXSID5026097,879-39-0,Negative,,,,,,,,,
TR-155,"2,4,6-Trichlorophenol",DTXSID5021386,88-06-2,Negative,,,,,,,,,
,1-Nitro-2-methylnaphthalene,DTXSID2025761,881-03-8,Positive,,,,,,,,,
,o-Chlorobenzotrifluoride,DTXSID9024774,88-16-4,Negative,,,,,,,,,
,Orthanilic acid,DTXSID1024463,88-21-1,Weakly Positive,Negative,,,,,,,,
,6-Amino-4-chloro-1-phenol-2-sulfonic acid,DTXSID0024474,88-23-3,Negative,,,,,,,,,
,N-Ethyl-2-methyl-4-nitroaniline,DTXSID0025311,88374-25-8,Positive,,,,,,,,,
TR-504,o-Nitrotoluene,DTXSID4025791,88-72-2,Negative; Negative,Negative,,Negative; Equivocal,Negative,,,,,
,2-Chloronitrobenzene,DTXSID0020280,88-73-3,Weakly Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,o-Nitroaniline,DTXSID1025726,88-74-4,Negative,,,,,,,,,
,o-Nitrophenol,DTXSID1021790,88-75-5,Negative; Negative,,,,,,,,,
,Picryl chloride,DTXSID3025910,88-88-0,Positive,,,,,,,,,
,Picric acid,DTXSID4025909,88-89-1,Positive,,,,,,,,,
TR-161,Phthalamide,DTXSID7021158,88-96-0,Negative,,,,,,,,,
,Phthalic acid,DTXSID8021484,88-99-3,Negative,,,,,,,,,
TR-141,1-Phenyl-3-methyl-5-pyrazolone,DTXSID9021130,89-25-8,Negative,,,,,,,,,
,4-Nitrophthalimide,DTXSID1025776,89-40-7,Positive,,,,,,,,,
,5-Aminosalicylic acid,DTXSID5024506,89-57-6,Negative,,,Negative,,,,,,
,"1,4-Dimethyl-2-nitrobenzene",DTXSID2025137,89-58-7,Positive,,,,,,,,,
,4-Methyl-2-nitroaniline,DTXSID2025632,89-62-3,Positive,,,,,,,,,
,4-Chloro-2-nitroaniline,DTXSID4030384,89-63-4,Positive,,,,,,,,,
,"2,4,5-Trichloronitrobenzene",DTXSID5026203,89-69-0,Positive,,,,,,,,,
,o-sec-Butylphenol,DTXSID2022331,89-72-5,Negative,,,,,,,,,
TR-563,Pulegone,DTXSID3051757,89-82-7,Positive; Negative; Negative,,,Negative,Negative,,,,,
,"2,4-Dihydroxybenzoic acid",DTXSID0025074,89-86-1,Negative,,,,,,,,,
,"1,3-Dimethyl-4-nitrobenzene",DTXSID2025135,89-87-2,Positive,,,,,,,,,
,2-Chlorobenzaldehyde,DTXSID5024764,89-98-5,Negative,,,,,,,,,
TR-227,Gum Arabic,DTXSID8020676,9000-01-5,Negative,,,,,,,,,
,Dammar,DTXSID5024899,9000-16-2,Negative,,,,,,,,,
TR-229,Guar gum,DTXSID3020675,9000-30-0,Negative,,,,,,,,,
TR-571,Kava kava extract,DTXSID901018742,9000-38-8,Negative; Negative,,,Negative,Negative,,,,,
TR-221,Locust bean gum,DTXSID5020780,9000-40-2,Negative,,,,,,,,,
,o-Ethyl phenol,DTXSID1022479,90-00-6,Negative,,,,,,,,,
,Echinacea purpurea extract,DTXSID0031265,90028-20-9,Negative; Negative; Negative; Negative; Negative; Negative; Negative; Negative; Equivocal; Equivocal,,,,,,,,,
,Polyvinylchloride latex,DTXSID5025940,9002-86-2,Negative,,,,,,,,,
,Polyethylene AS,DTXSID8031946,9002-88-4,Negative; Negative,,,,,,,,,
,Ethoxylated dodecyl alcohol,DTXSID2025218,9002-92-0,Negative,,,Negative,,,,,,
,Polyvinylpyrrolidone polymers,DTXSID0025941,9003-39-8,Negative,,,,,,,,,
,Polystyrene,DTXSID5031925,9003-53-6,Negative,,,,,,,,,
,o-Anisidine,DTXSID5023877,90-04-0,Positive; Positive; Negative,,,,,,Equivocal,,,
,Garcinia Cambogia Extract,DTXSID8040191,90045-23-1,Negative,,,,,,,,,
TR-578,Ginkgo biloba extract,DTXSID8031366,90045-36-6,Positive,Negative; Negative; Negative; Negative; Negative,,Negative,Equivocal,,,,,
,o-Methoxyphenol,DTXSID0023113,90-05-1,Negative; Negative; Negative,,,,,,,,,
TR-415,Polysorbate 80 (glycol),DTXSID0021175,9005-65-6,Negative,,,,,,,,,
,1-Methylnaphthalene,DTXSID9020877,90-12-0,Negative,,,,,,,,,
,1-Chloronaphthalene,DTXSID2024791,90-13-1,Weakly Positive,,,,,,,,,
,N-Phenyl-1-naphthylamine,DTXSID2025892,90-30-2,Negative,,,,,,,,,
,beta-Methylumbelliferone,DTXSID8025670,90-33-5,Negative,,,,,,,,,
,2-Biphenylamine,DTXSID3030189,90-41-5,Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Negative,,,,,,,,,
TR-301,o-Phenylphenol,DTXSID2021151,90-43-7,Weakly Positive; Negative,,,,,,,,,
,Glucono delta lactone,DTXSID0026549,90-80-2,Negative,,,,,,,,,
TR-181,Michler's ketone,DTXSID2020894,90-94-8,Positive,,,,,,,,,
,"2,6-Diisocyanatotoluene",DTXSID2026157,91-08-7,Positive,,,,,,,,,
TR-513,Decalin,DTXSID1024912,91-17-8,Negative,,,Weakly Positive,Negative,,,,,
"TR-410, TR-500",Naphthalene,DTXSID8020913,91-20-3,Negative,,,,,,,,,
,"1,2,3,4-Tetrahydro isoquinoline",DTXSID6026115,91-21-4,Negative,,,,,,,,,
,Quinoline,DTXSID1021798,91-22-5,Positive,,,,,,,,,
TR-416,o-Nitroanisole,DTXSID3020962,91-23-6,Positive; Positive,,,,,,,,,
,7-Diethylamino-4-methylcoumarin,DTXSID9025035,91-44-1,Negative,,,,,,,,,
,Ethoxyquin,DTXSID9020582,91-53-2,Negative,,,Negative,,,,,,
,2-Methylnaphthalene,DTXSID4020878,91-57-6,Negative,,,,,,,,,
,2-Chloronaphthalene,DTXSID8023971,91-58-7,Negative,,,,,,,,,
,2-Naphthylamine,DTXSID2020921,91-59-8,Positive,,,Negative,,,,,,
,6-Methylquinoline,DTXSID3020887,91-62-3,Positive,,,,,,,,,
TR-422,Coumarin,DTXSID7020348,91-64-5,Positive,,,Negative,Negative,,,,,
,"N,N-Diethyl aniline",DTXSID8021800,91-66-7,Negative,,,,,,,,,
,3-Diethylaminophenol,DTXSID9025037,91-68-9,Positive,,,,,,,,,
,Pyrilamine,DTXSID9023542,91-84-9,Negative,,,,,,,,,
TR-128,"3,3'-Dimethoxybenzidine-4,4'-diisocyanate",DTXSID6020484,91-93-0,Positive,,,,,,,,,
,"1,1,1,3,3,3-Hexafluoro-2-propanol",DTXSID1022134,920-66-1,Negative,,,,,,,,,
,4-(6-Methyl-2-benzothiazolyl)-benzenamine,DTXSID5024502,92-36-4,Positive,,,,,,,,,
TR-352,N-Methylolacrylamide,DTXSID3020885,924-42-5,Negative,,,Negative; Negative; Negative,,,,,,
,Methyl coumarin,DTXSID9025588,92-48-8,Negative,,,Equivocal,Negative,,,,,
,Biphenyl,DTXSID4020161,92-52-4,Negative; Negative,,,,,,,,,
,N-Ethyl-N-phenyl benzylamine,DTXSID0025315,92-59-1,Negative,,,,,,,,,
,4-Bromobiphenyl,DTXSID4024640,92-66-0,Negative,,,,,,,,,
,4-Biphenylamine,DTXSID5020071,92-67-1,Positive; Positive; Positive,,,Positive,,,,,,
,Phenothiazine,DTXSID5021126,92-84-2,Negative; Negative,Negative,,,,,,,,
,Benzidine,DTXSID2020137,92-87-5,Positive; Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,"1,2-Epoxy-3-butene",DTXSID4025240,930-22-3,Positive,,,,,,,,,
,Methyl glycidyl ether,DTXSID9025613,930-37-0,Positive,,,,,,,,,
,"N,N-Diethyl-p-phenylenediamine",DTXSID2025058,93-05-0,Positive,,,,,,,,,
,2-Cyclohexen-1-one,DTXSID1024881,930-68-7,Negative,Negative,,Negative,Negative,,,,,
TR-491,Methyleugenol,DTXSID5025607,93-15-2,Negative,,,Negative,Negative,,,,,
,Cyclohexanone cyanohydrin,DTXSID2024878,931-97-5,Negative,,,,,,,,,
,"2,3,6-Trichlorophenol",DTXSID5026209,933-75-5,Negative,,,,,,,,,
,"2,3,5-Trichlorophenol",DTXSID0026208,933-78-8,Negative,,,,,,,,,
,2-Aminobenzimidazole,DTXSID1024465,934-32-7,Negative,,,,,,,,,
,4-(2-Naphthylamino)phenol,DTXSID8025701,93-45-8,Negative; Equivocal,,,,,,,,,
,"N,N'-Di-2-napthyl-p-phenylenediamine",DTXSID3020918,93-46-9,Positive,,,,,,,,,
,Methylbenzoate,DTXSID5025572,93-58-3,Negative,,,,,,,,,
,"2,3,5,6-Tetrachlorophenol",DTXSID2026101,935-95-5,Negative,,,,,,,,,
,"2,4,5-Trichlorophenoxyacetic acid",DTXSID5021388,93-76-5,Negative; Negative,,,,,,,,,
,"Butyl(2,4,5-trichlorophenoxy) acetate",DTXSID7026073,93-79-8,Negative,,,,,,,,,
TR-481,Oleic acid diethanolamine condensate,DTXSID8026563,93-83-4,Negative,,,Negative,Negative,,,,,
,2-Ethoxybenzamide,DTXSID4020581,938-73-8,Negative,,,,,,,,,
,Propyl-4-hydroxybenzoate,DTXSID4022527,94-13-3,Negative; Equivocal,,,,,,,,,
TR-045,Chlorpropamide,DTXSID9020322,94-20-2,Negative,,,,,,,,,
,n-Butyl-p-aminobenzoate,DTXSID7022417,94-25-7,Negative,,,,,,,,,
,Butyl Paraben,DTXSID3020209,94-26-8,Negative,,,,,,,,,
,Benzoyl peroxide,DTXSID6024591,94-36-0,Negative; Negative,,,,,,,,,
,2-Amino-6-ethoxybenzothiazole,DTXSID9024481,94-45-1,Positive,,,,,,,,,
TR-117,6-Nitrobenzimidazole,DTXSID8020965,94-52-0,Positive,,,,,,,,,
,Safrole,DTXSID0021254,94-59-7,Negative,,,,,,,,,
,"Dimethyl 1,4-cyclohexanedicarboxylate",DTXSID3026566,94-60-0,Positive,,,,,,,,,
